PMID,First_author,Year,Record.no,Group.ID,Group.name,Sample.size,GMT,GMT_ll,GMT_ul,Time,Immunity.type,Tested.variant,Age.group,Assay,logGMT,sd_logGMT
36960070,H. Hyun,2023,1,A,1*Ad26.COV2.S+1*BNT162b2,26,694,567,849,24.5,Heterologous booster,Ancestral,Adults,PRNT,6.542471961,0.102984664
36960070,H. Hyun,2023,2,A,1*Ad26.COV2.S+1*BNT162b2,25,359,278,463,90,Heterologous booster,Ancestral,Adults,PRNT,5.883322388,0.130129066
36960070,H. Hyun,2023,3,B,1*Ad26.COV2.S+1*mRNA-1273,56,1009,705,1444,24.5,Heterologous booster,Ancestral,Adults,PRNT,6.91671502,0.182901662
36960070,H. Hyun,2023,4,B,1*Ad26.COV2.S+1*mRNA-1273,53,283,171,470,90,Heterologous booster,Ancestral,Adults,PRNT,5.645446898,0.257925801
36960070,H. Hyun,2023,1,A,1*Ad26.COV2.S+1*BNT162b2,26,36,29,43,24.5,Heterologous booster,Omicron,Adults,PRNT,3.583518938,0.100485787
36960070,H. Hyun,2023,2,A,1*Ad26.COV2.S+1*BNT162b2,25,15,12,18,90,Heterologous booster,Omicron,Adults,PRNT,2.708050201,0.103434977
36960070,H. Hyun,2023,3,B,1*Ad26.COV2.S+1*mRNA-1273,56,53,39,72,24.5,Heterologous booster,Omicron,Adults,PRNT,3.970291914,0.156404202
36960070,H. Hyun,2023,4,B,1*Ad26.COV2.S+1*mRNA-1273,53,17,15,20,90,Heterologous booster,Omicron,Adults,PRNT,2.833213344,0.073388284
38140219,H. Jiang,2023,1,A,3*CoronaVac,102,33.6,28.3,40,14,3*Inactivated,Ancestral,Adults,MNT,3.514526067,0.088269809
38140219,H. Jiang,2023,2,A,3*CoronaVac,95,6.9,5.6,8.6,180,3*Inactivated,Ancestral,Adults,MNT,1.931521412,0.109437654
38140219,H. Jiang,2023,5,A,3*CoronaVac,102,8.2,6.6,10.1,14,3*Inactivated,Delta,Adults,MNT,2.104134154,0.108537187
38140219,H. Jiang,2023,6,A,3*CoronaVac,95,5.2,4.5,5.9,180,3*Inactivated,Delta,Adults,MNT,1.648658626,0.069100754
38140219,H. Jiang,2023,9,A,3*CoronaVac,102,4.7,3,7.2,14,3*Inactivated,Omicron,Adults,MNT,1.547562509,0.223333862
38140219,H. Jiang,2023,10,A,3*CoronaVac,95,2,2,2,180,3*Inactivated,Omicron,Adults,MNT,0.693147181,0.010259784
38140219,H. Jiang,2023,13,C,3*CoronaVac,100,48.2,39.5,58.7,14,3*Inactivated,Ancestral,Elderly,MNT,3.875359021,0.101055881
38140219,H. Jiang,2023,14,C,3*CoronaVac,86,9.4,7.7,11.4,180,3*Inactivated,Ancestral,Elderly,MNT,2.240709689,0.100100262
38140219,H. Jiang,2023,17,C,3*CoronaVac,40,7.9,5.8,10.7,14,3*Inactivated,Delta,Elderly,MNT,2.066862759,0.156220873
38140219,H. Jiang,2023,18,C,3*CoronaVac,86,2.7,2.4,3,180,3*Inactivated,Delta,Elderly,MNT,0.993251773,0.056924375
38140219,H. Jiang,2023,21,C,3*CoronaVac,40,4.1,3,5.7,14,3*Inactivated,Omicron,Elderly,MNT,1.410986974,0.163738236
38140219,H. Jiang,2023,22,C,3*CoronaVac,86,2.2,2,2.4,180,3*Inactivated,Omicron,Elderly,MNT,0.78845736,0.046510601
37750684,Y. J. Lee,2023,2,A,1*ChAdOx1+2*BNT162b2,12,1110.307445,395.5045356,3116.987322,90,Heterologous booster,Ancestral,Adults,PRNT,7.012392234,0.526647948
37750684,Y. J. Lee,2023,3,A,1*ChAdOx1+2*BNT162b2,10,681.2626052,198.1194468,2342.620801,150,Heterologous booster,Ancestral,Adults,PRNT,6.523947849,0.630141701
38396065,A. Reinholm,2024,1,A,2*BNT162b2+1*mRNA,40,1616,510.6310817,5114.173605,21,3*mRNA,Ancestral,Adults,MNT,7.387709239,0.587786665
38396065,A. Reinholm,2024,2,A,2*BNT162b2+1*mRNA,40,740,144.6255958,3786.328394,90,3*mRNA,Ancestral,Adults,MNT,6.606650186,0.832909123
38396065,A. Reinholm,2024,3,A,2*BNT162b2+1*mRNA,40,338,66.05871809,1729.431077,21,3*mRNA,Omicron,Adults,MNT,5.823045895,0.832909123
38396065,A. Reinholm,2024,4,A,2*BNT162b2+1*mRNA,40,104,13.82304105,782.4616854,90,3*mRNA,Omicron,Adults,MNT,4.644390899,1.029619417
38396065,A. Reinholm,2024,5,A1,2*BNT162b2+1*mRNA,40,714,139.544156,3653.295235,21,3*mRNA,Omicron,Adults,MNT,6.570882962,0.832909123
38396065,A. Reinholm,2024,6,A1,2*BNT162b2+1*mRNA,40,285,47.30232014,1717.146215,90,3*mRNA,Omicron,Adults,MNT,5.65248918,0.916290732
38396065,A. Reinholm,2024,7,A2,2*BNT162b2+1*mRNA,40,421,89.77049945,1974.379123,21,3*mRNA,Omicron,Adults,MNT,6.042632834,0.78845736
38396065,A. Reinholm,2024,8,A2,2*BNT162b2+1*mRNA,40,179,27.51092982,1164.664379,90,3*mRNA,Omicron,Adults,MNT,5.187385806,0.955511445
38396065,A. Reinholm,2024,9,A3,2*BNT162b2+1*mRNA,40,51,9.967439712,260.9496596,21,3*mRNA,Omicron,Adults,MNT,3.931825633,0.832909123
38396065,A. Reinholm,2024,10,A3,2*BNT162b2+1*mRNA,40,18,2.233430431,145.0683198,90,3*mRNA,Omicron,Adults,MNT,2.890371758,1.064710737
38396065,A. Reinholm,2024,11,A4,2*BNT162b2+1*mRNA,40,39,5.994001468,253.7536916,21,3*mRNA,Omicron,Adults,MNT,3.663561646,0.955511445
38396065,A. Reinholm,2024,12,A4,2*BNT162b2+1*mRNA,40,16,2.283741821,112.0967343,90,3*mRNA,Omicron,Adults,MNT,2.772588722,0.993251773
38396065,A. Reinholm,2024,13,B,2*BNT162b2+1*mRNA,34,910,194.040747,4267.660338,21,3*mRNA,Ancestral,Adults,MNT,6.8134446,0.78845736
38396065,A. Reinholm,2024,14,B,2*BNT162b2+1*mRNA,27,370,72.31279791,1893.164197,90,3*mRNA,Ancestral,Adults,MNT,5.913503006,0.832909123
38396065,A. Reinholm,2024,15,B,2*BNT162b2+1*mRNA,34,159,28.58795505,884.3234837,21,3*mRNA,Omicron,Adults,MNT,5.068904202,0.875468737
38396065,A. Reinholm,2024,16,B,2*BNT162b2+1*mRNA,27,74,15.77913767,347.040511,90,3*mRNA,Omicron,Adults,MNT,4.304065093,0.78845736
38396065,A. Reinholm,2024,17,B1,2*BNT162b2+1*mRNA,34,406,72.99817453,2258.083864,21,3*mRNA,Omicron,Adults,MNT,6.00635316,0.875468737
38396065,A. Reinholm,2024,18,B1,2*BNT162b2+1*mRNA,27,171,28.38139208,1030.287729,90,3*mRNA,Omicron,Adults,MNT,5.141663557,0.916290732
38396065,A. Reinholm,2024,19,B2,2*BNT162b2+1*mRNA,34,177,31.82432732,984.4355761,21,3*mRNA,Omicron,Adults,MNT,5.176149733,0.875468737
38396065,A. Reinholm,2024,20,B2,2*BNT162b2+1*mRNA,27,79,9.802278003,636.6887368,90,3*mRNA,Omicron,Adults,MNT,4.369447852,1.064710737
38396065,A. Reinholm,2024,21,B3,2*BNT162b2+1*mRNA,34,34,5.225539742,221.221167,21,3*mRNA,Omicron,Adults,MNT,3.526360525,0.955511445
38396065,A. Reinholm,2024,22,B3,2*BNT162b2+1*mRNA,27,16,3.737405023,68.4967239,90,3*mRNA,Omicron,Adults,MNT,2.772588722,0.741937345
38396065,A. Reinholm,2024,23,B4,2*BNT162b2+1*mRNA,34,26,4.674759945,144.6063558,21,3*mRNA,Omicron,Adults,MNT,3.258096538,0.875468737
38396065,A. Reinholm,2024,24,B4,2*BNT162b2+1*mRNA,27,11,1.977783054,61.17961208,90,3*mRNA,Omicron,Adults,MNT,2.397895273,0.875468737
38396065,A. Reinholm,2024,25,C,2*mRNA-1273+1*mRNA,31,1471,287.4922317,7526.606849,21,3*mRNA,Ancestral,Adults,MNT,7.293697721,0.832909123
38396065,A. Reinholm,2024,26,C,2*mRNA-1273+1*mRNA,24,670,120.4649678,3726.394554,90,3*mRNA,Ancestral,Adults,MNT,6.507277712,0.875468737
38396065,A. Reinholm,2024,27,C,2*mRNA-1273+1*mRNA,31,179,46.00809374,696.4209423,21,3*mRNA,Omicron,Adults,MNT,5.187385806,0.693147181
38396065,A. Reinholm,2024,28,C,2*mRNA-1273+1*mRNA,24,82,16.02607954,419.5661194,90,3*mRNA,Omicron,Adults,MNT,4.406719247,0.832909123
38396065,A. Reinholm,2024,29,C1,2*mRNA-1273+1*mRNA,31,503,117.4946704,2153.365758,21,3*mRNA,Omicron,Adults,MNT,6.22059017,0.741937345
38396065,A. Reinholm,2024,30,C1,2*mRNA-1273+1*mRNA,24,218,39.19606416,1212.468676,90,3*mRNA,Omicron,Adults,MNT,5.384495063,0.875468737
38396065,A. Reinholm,2024,31,C2,2*mRNA-1273+1*mRNA,31,359,59.58432607,2163.001724,21,3*mRNA,Omicron,Adults,MNT,5.883322388,0.916290732
38396065,A. Reinholm,2024,32,C2,2*mRNA-1273+1*mRNA,24,145,24.0660927,873.6357938,90,3*mRNA,Omicron,Adults,MNT,4.976733742,0.916290732
38396065,A. Reinholm,2024,33,C3,2*mRNA-1273+1*mRNA,31,49,10.44834792,229.7970951,21,3*mRNA,Omicron,Adults,MNT,3.891820298,0.78845736
38396065,A. Reinholm,2024,34,C3,2*mRNA-1273+1*mRNA,24,22,3.381231598,143.1431081,90,3*mRNA,Omicron,Adults,MNT,3.091042453,0.955511445
38396065,A. Reinholm,2024,35,C4,2*mRNA-1273+1*mRNA,31,38,7.426719785,194.4330797,21,3*mRNA,Omicron,Adults,MNT,3.63758616,0.832909123
38396065,A. Reinholm,2024,36,C4,2*mRNA-1273+1*mRNA,24,16,3.411705442,75.03578616,90,3*mRNA,Omicron,Adults,MNT,2.772588722,0.78845736
38396065,A. Reinholm,2024,37,D,1*ChAdOx1+2*mRNA,44,1030,264.7393104,4007.338383,21,Heterologous booster,Ancestral,Adults,MNT,6.937314081,0.693147181
38396065,A. Reinholm,2024,38,D,1*ChAdOx1+2*mRNA,35,460,107.4503944,1969.280812,90,Heterologous booster,Ancestral,Adults,MNT,6.131226489,0.741937345
38396065,A. Reinholm,2024,39,D,1*ChAdOx1+2*mRNA,44,114,26.62901079,488.0391578,21,Heterologous booster,Omicron,Adults,MNT,4.736198448,0.741937345
38396065,A. Reinholm,2024,40,D,1*ChAdOx1+2*mRNA,35,40,9.343512558,171.2418098,90,Heterologous booster,Omicron,Adults,MNT,3.688879454,0.741937345
38396065,A. Reinholm,2024,41,D1,1*ChAdOx1+2*mRNA,44,375,132.5413476,1060.989665,21,Heterologous booster,Omicron,Adults,MNT,5.926926026,0.530628251
38396065,A. Reinholm,2024,42,D1,1*ChAdOx1+2*mRNA,35,183,47.03620757,711.9834215,90,Heterologous booster,Omicron,Adults,MNT,5.209486153,0.693147181
38396065,A. Reinholm,2024,43,D2,1*ChAdOx1+2*mRNA,44,175,61.85262887,495.1285105,21,Heterologous booster,Omicron,Adults,MNT,5.164785974,0.530628251
38396065,A. Reinholm,2024,44,D2,1*ChAdOx1+2*mRNA,35,91,17.78503949,465.6160593,90,Heterologous booster,Omicron,Adults,MNT,4.510859507,0.832909123
38396065,A. Reinholm,2024,45,D3,1*ChAdOx1+2*mRNA,44,27,6.93976833,105.0467343,21,Heterologous booster,Omicron,Adults,MNT,3.295836866,0.693147181
38396065,A. Reinholm,2024,46,D3,1*ChAdOx1+2*mRNA,35,10,2.33587814,42.81045244,90,Heterologous booster,Omicron,Adults,MNT,2.302585093,0.741937345
38396065,A. Reinholm,2024,47,D4,1*ChAdOx1+2*mRNA,44,21,4.477863393,98.48446934,21,Heterologous booster,Omicron,Adults,MNT,3.044522438,0.78845736
38396065,A. Reinholm,2024,48,D4,1*ChAdOx1+2*mRNA,35,8,2.527876642,25.31769111,90,Heterologous booster,Omicron,Adults,MNT,2.079441542,0.587786665
38400163,N. Suntronwong,2024,1,A,2*CoronaVac convalescents,30,64.5,37.1,111.9,32,2*Inactivated convalescents,Omicron,Adults,FRNT,4.166665224,0.281629757
38400163,N. Suntronwong,2024,2,A,2*CoronaVac convalescents,30,66.1,39.9,109.6,158,2*Inactivated convalescents,Omicron,Adults,FRNT,4.191168747,0.257770676
38400163,N. Suntronwong,2024,3,B,2*ChAdOx1 convalescents,30,224.9,129.4,413,37,2*Viral vector convalescents,Omicron,Adults,FRNT,5.415655859,0.296055921
38400163,N. Suntronwong,2024,4,B,2*ChAdOx1 convalescents,30,136.8,83.2,224.9,134,2*Viral vector convalescents,Omicron,Adults,FRNT,4.918520005,0.253675641
37400857,F. Wang,2023,1,A,2*BBIBP-CorV+1*Convidecia,48,236.23,106.707804,522.9665576,7,Heterologous booster,Ancestral,Adults,MNT,5.464805907,0.405465108
37400857,F. Wang,2023,2,A,2*BBIBP-CorV+1*Convidecia,94,589.26,412.2035419,842.3686657,30,Heterologous booster,Ancestral,Adults,MNT,6.378867512,0.182321557
37400857,F. Wang,2023,3,A,2*BBIBP-CorV+1*Convidecia,45,76.35,39.4819043,147.645424,180,Heterologous booster,Ancestral,Adults,MNT,4.335328032,0.336472237
37400857,F. Wang,2023,4,A,2*BBIBP-CorV+1*Convidecia,48,12.2,5.510880109,27.00839014,7,Heterologous booster,Omicron,Adults,MNT,2.501435952,0.405465108
37400857,F. Wang,2023,5,A,2*BBIBP-CorV+1*Convidecia,94,27.9,14.4275721,53.95294472,30,Heterologous booster,Omicron,Adults,MNT,3.328626689,0.336472237
37400857,F. Wang,2023,6,A,2*BBIBP-CorV+1*Convidecia,45,12.53,6.479479513,24.23048019,180,Heterologous booster,Omicron,Adults,MNT,2.528125769,0.336472237
37400857,F. Wang,2023,7,A1,2*BBIBP-CorV+1*Convidecia,48,8.55,4.421352741,16.53396693,7,Heterologous booster,Omicron,Adults,MNT,2.145931283,0.336472237
37400857,F. Wang,2023,8,A1,2*BBIBP-CorV+1*Convidecia,94,21.61,12.92188276,36.13963295,30,Heterologous booster,Omicron,Adults,MNT,3.073156171,0.262364264
37400857,F. Wang,2023,9,A1,2*BBIBP-CorV+1*Convidecia,45,4.43,2.290829549,8.566722047,180,Heterologous booster,Omicron,Adults,MNT,1.488399584,0.336472237
38378570,S. Erfanpoor,2024,1,A,3*BBIBP-CorV,42,308.2,219.7,436.1,90,3*Inactivated,Ancestral,Adults,MNT,5.730748923,0.174900152
38378570,S. Erfanpoor,2024,2,A,3*BBIBP-CorV,34,209.8,150.8,278.7,180,3*Inactivated,Ancestral,Adults,MNT,5.346154696,0.156678949
38014726,J. S. Park,2024,1,A,2*ChAdOx1+1*BNT162b2,32,127.6555499,22.16217859,735.304039,28,Heterologous booster,Omicron,Elderly,PRNT,4.849335621,0.893341047
38014726,J. S. Park,2024,2,A,2*ChAdOx1+1*BNT162b2,32,41.29639958,7.14528016,238.674003,84,Heterologous booster,Omicron,Elderly,PRNT,3.720775319,0.895062907
38014726,J. S. Park,2024,3,A,2*ChAdOx1+1*BNT162b2,28,35.17035587,2.250011959,549.7543812,168,Heterologous booster,Omicron,Elderly,PRNT,3.560203565,1.402687772
38014726,J. S. Park,2024,4,B,2*ChAdOx1+1*mRNA-1273,37,130.6861201,21.41625226,797.4720217,28,Heterologous booster,Omicron,Elderly,PRNT,4.872798418,0.922779762
38014726,J. S. Park,2024,5,B,2*ChAdOx1+1*mRNA-1273,36,42.61908378,6.967835395,260.6815746,84,Heterologous booster,Omicron,Elderly,PRNT,3.752302129,0.923978323
38014726,J. S. Park,2024,6,B,2*ChAdOx1+1*mRNA-1273,33,27.75259419,2.322469056,331.6326141,168,Heterologous booster,Omicron,Elderly,PRNT,3.32332932,1.265662476
38014726,J. S. Park,2024,7,C,3*BNT162b2,30,118.2605382,13.90084843,1006.093618,28,3*mRNA,Omicron,Elderly,PRNT,4.772890141,1.092316462
38014726,J. S. Park,2024,8,C,3*BNT162b2,28,47.78326766,4.82440481,473.2688815,84,3*mRNA,Omicron,Elderly,PRNT,3.866675529,1.169891917
38014726,J. S. Park,2024,9,C,3*BNT162b2,29,54.93239517,0.511077324,5904.327775,168,3*mRNA,Omicron,Elderly,PRNT,4.00610325,2.386396751
38014726,J. S. Park,2024,10,D,2*BNT162b2+1*mRNA-1273,17,145.5055016,21.07820795,1004.442648,28,3*mRNA,Omicron,Elderly,PRNT,4.980213898,0.985701117
38014726,J. S. Park,2024,11,D,2*BNT162b2+1*mRNA-1273,17,66.47967706,1.247401374,3543.003523,84,3*mRNA,Omicron,Elderly,PRNT,4.196896293,2.028486636
38014726,J. S. Park,2024,12,D,2*BNT162b2+1*mRNA-1273,14,45.68016479,0.490668266,4252.725519,168,3*mRNA,Omicron,Elderly,PRNT,3.821664173,2.313087338
35245438,H. Xia,2022,4,A,3*BNT162b2,22,1342,920,1957,30,3*mRNA,Ancestral,Adults,PRNT,7.201916318,0.192549566
35245438,H. Xia,2022,5,A,3*BNT162b2,21,820,557,1207,120,3*mRNA,Ancestral,Adults,PRNT,6.70930434,0.197277546
35835822,K. M. Vadrevu,2022,7,A1,3*BBV152,80,746.2,514.9,1081,28,3*Inactivated,Ancestral,Adults,PRNT,6.614993661,0.189201304
35835822,K. M. Vadrevu,2022,15,A1,3*BBV152,33,369,221.7,614,28,3*Inactivated,Delta,Adults,PRNT,5.910796644,0.259864748
35835822,K. M. Vadrevu,2022,18,A1,3*BBV152,31,178.9,82.6,387.5,180,3*Inactivated,Ancestral,Adults,PRNT,5.186826991,0.394312798
35835822,K. M. Vadrevu,2022,20,A1,3*BBV152,31,115.9,55.8,240.8,180,3*Inactivated,Delta,Adults,PRNT,4.75272775,0.373008379
35947380,C. S. Tan,2022,18,A,2*BNT162b2+1*Ad26.cov2.S,41,469.6577673,105.456914,2091.644921,14,Heterologous booster,Omicron,Adults,MNT,6.152004275,0.762092757
35947380,C. S. Tan,2022,19,A,2*BNT162b2+1*Ad26.cov2.S,41,1165.865164,76.76202501,17707.2137,28,Heterologous booster,Omicron,Adults,MNT,7.06121872,1.388014627
35947380,C. S. Tan,2022,20,A,2*BNT162b2+1*Ad26.cov2.S,41,943.4635998,173.0064597,5145.030802,112,Heterologous booster,Omicron,Adults,MNT,6.849557784,0.865422883
35947380,C. S. Tan,2022,22,B,3*BNT162b2,27,1547.897367,320.1126197,7484.822878,14,3*mRNA,Omicron,Adults,MNT,7.344652752,0.804071368
35947380,C. S. Tan,2022,23,B,3*BNT162b2,27,1327.624904,168.3548777,10469.47917,28,3*mRNA,Omicron,Adults,MNT,7.191146838,1.05360853
35947380,C. S. Tan,2022,24,B,3*BNT162b2,27,498.3344608,97.33137874,2551.461184,112,3*mRNA,Omicron,Adults,MNT,6.21127146,0.83323981
35751471,W. Chen,2022,6,A,3*CoronaVac,30,37.3,21.3,65.1,7,3*Inactivated,Ancestral,Adults,MNT,3.618993327,0.285004458
35751471,W. Chen,2022,7,A,3*CoronaVac,32,158.2,116.7,211.7,10,3*Inactivated,Ancestral,Adults,MNT,5.063860055,0.1519295
35751471,W. Chen,2022,8,A,3*CoronaVac,29,228.2,133.8,352.9,14,3*Inactivated,Ancestral,Adults,MNT,5.430222437,0.247407802
35751471,W. Chen,2022,9,A,3*CoronaVac,32,290.6,206.9,375.6,21,3*Inactivated,Ancestral,Adults,MNT,5.671947751,0.152114582
35751471,W. Chen,2022,10,A,3*CoronaVac,155,143.6,118.8,172.3,90,3*Inactivated,Ancestral,Adults,MNT,4.967031657,0.094845851
35751471,W. Chen,2022,16,A,3*CoronaVac,30,7,5.1,11.6,7,3*Inactivated,Beta,Adults,MNT,1.945910149,0.209633816
35751471,W. Chen,2022,17,A,3*CoronaVac,32,43.3,35,63.6,10,3*Inactivated,Beta,Adults,MNT,3.768152635,0.152363625
35751471,W. Chen,2022,18,A,3*CoronaVac,29,42.6,32.1,62.8,14,3*Inactivated,Beta,Adults,MNT,3.751854253,0.171198736
35751471,W. Chen,2022,19,A,3*CoronaVac,32,52.5,34.2,90.1,21,3*Inactivated,Beta,Adults,MNT,3.96081317,0.247115949
35751471,W. Chen,2022,20,A,3*CoronaVac,155,20.4,16.4,23.8,90,3*Inactivated,Beta,Adults,MNT,3.015534901,0.095001083
35751471,W. Chen,2022,26,A,3*CoronaVac,30,10.5,6.1,16.7,7,3*Inactivated,Gamma,Adults,MNT,2.351375257,0.256918354
35751471,W. Chen,2022,27,A,3*CoronaVac,32,51.1,35.3,66.3,10,3*Inactivated,Gamma,Adults,MNT,3.933784497,0.160792585
35751471,W. Chen,2022,28,A,3*CoronaVac,29,58.9,39.7,74.4,14,3*Inactivated,Gamma,Adults,MNT,4.075841091,0.160230805
35751471,W. Chen,2022,29,A,3*CoronaVac,32,78.4,44.5,121.9,21,3*Inactivated,Gamma,Adults,MNT,4.361823927,0.257069349
35751471,W. Chen,2022,30,A,3*CoronaVac,155,37.5,30.5,44.1,90,3*Inactivated,Gamma,Adults,MNT,3.624340933,0.094064566
35751471,W. Chen,2022,36,A,3*CoronaVac,30,6.5,3.9,9.4,7,3*Inactivated,Delta,Adults,MNT,1.871802177,0.224421718
35751471,W. Chen,2022,37,A,3*CoronaVac,32,33.7,25.5,42.3,10,3*Inactivated,Delta,Adults,MNT,3.517497837,0.129109345
35751471,W. Chen,2022,38,A,3*CoronaVac,29,34.5,22.3,47.4,14,3*Inactivated,Delta,Adults,MNT,3.540959324,0.192356008
35751471,W. Chen,2022,39,A,3*CoronaVac,32,46,25,77.6,21,3*Inactivated,Delta,Adults,MNT,3.828641396,0.288951939
35751471,W. Chen,2022,40,A,3*CoronaVac,155,22.9,18.6,26.9,90,3*Inactivated,Delta,Adults,MNT,3.131136911,0.094123649
35751471,W. Chen,2022,46,A,3*CoronaVac,30,2.7,1.8,3,7,3*Inactivated,Omicron,Adults,MNT,0.993251773,0.130312659
35751471,W. Chen,2022,47,A,3*CoronaVac,32,12.3,6.8,14.3,10,3*Inactivated,Omicron,Adults,MNT,2.509599262,0.189626767
35751471,W. Chen,2022,48,A,3*CoronaVac,29,13.3,6.5,17.4,14,3*Inactivated,Omicron,Adults,MNT,2.587764035,0.251190824
35751471,W. Chen,2022,49,A,3*CoronaVac,32,24,11.4,27.2,21,3*Inactivated,Omicron,Adults,MNT,3.17805383,0.221837658
35751471,W. Chen,2022,50,A,3*CoronaVac,155,6.6,5.4,7.8,90,3*Inactivated,Omicron,Adults,MNT,1.887069649,0.093807342
35863731,S. Assawakosri,2022,2,A,3*AZD1222,59,32.2,20.1,51.6,28,Non-replicating viral vector booster,Omicron,Adults,FRNT,3.471966453,0.240510678
35863731,S. Assawakosri,2022,3,A,3*AZD1222,59,21.6,13.5,34.8,90,Non-replicating viral vector booster,Omicron,Adults,FRNT,3.072693315,0.241563189
35863731,S. Assawakosri,2022,5,B,2*AZD1222+1*BNT162b2,61,166,114,243,28,Heterologous booster,Omicron,Adults,FRNT,5.111987788,0.193077295
35863731,S. Assawakosri,2022,6,B,2*AZD1222+1*BNT162b2,61,78.1,47.5,128,90,Heterologous booster,Omicron,Adults,FRNT,4.357990057,0.252882794
35863731,S. Assawakosri,2022,8,C,2*AZD1222+1*mRNA-1273,59,548,415,723,28,Heterologous booster,Omicron,Adults,FRNT,6.306275287,0.141614975
35863731,S. Assawakosri,2022,9,C,2*AZD1222+1*mRNA-1273,59,141,89.6,222,90,Heterologous booster,Omicron,Adults,FRNT,4.94875989,0.23145971
35863731,S. Assawakosri,2022,11,A1,3*AZD1222,59,45.6,28.8,72.3,28,Non-replicating viral vector booster,Omicron,Adults,FRNT,3.819907717,0.234808353
35863731,S. Assawakosri,2022,12,A1,3*AZD1222,59,32.6,22,48.3,90,Non-replicating viral vector booster,Omicron,Adults,FRNT,3.484312288,0.200609466
35863731,S. Assawakosri,2022,14,B1,2*AZD1222+1*BNT162b2,61,248,179,342,28,Heterologous booster,Omicron,Adults,FRNT,5.513428746,0.165159421
35863731,S. Assawakosri,2022,15,B1,2*AZD1222+1*BNT162b2,61,73.8,56.1,97.2,90,Heterologous booster,Omicron,Adults,FRNT,4.301358732,0.140212984
35863731,S. Assawakosri,2022,17,C1,2*AZD1222+1*mRNA-1273,59,324,214,492,28,Heterologous booster,Omicron,Adults,FRNT,5.780743516,0.212373138
35863731,S. Assawakosri,2022,18,C1,2*AZD1222+1*mRNA-1273,59,122,71.4,208,90,Heterologous booster,Omicron,Adults,FRNT,4.804021045,0.27276536
34855510,C. J. Reynolds,2022,3,A,2*BNT162b2 convalescents,24,106296.4,25062.92967,450822.1824,20,2*mRNA convalescents,Ancestral,Adults,MNT,11.5739867,0.737164066
34855510,C. J. Reynolds,2022,4,A,2*BNT162b2 convalescents,17,17600.4,2355.799361,131494.2543,137,2*mRNA convalescents,Ancestral,Adults,MNT,9.775676908,1.026041596
34855510,C. J. Reynolds,2022,9,A,2*BNT162b2 convalescents,24,33279.2,9361.543893,118303.6864,20,2*mRNA convalescents,Alpha,Adults,MNT,10.41268786,0.647103242
