"PMID","First.author","Year","Record.no","Group.ID","Group.name","Vaccinated_cases","Vaccinated_controls","Unvaccinated_cases","Unvaccinated_controls","VE","VE_ll","VE_ul","Severity","Time","Vaccination.type","Variant","Exposed_age","logRR"
36645782,"Iulia G Ionescu",2023,35,"F","2*BNT162b2",53,1211,264,1029,84.2,77.8,88.8,"Mild infection",153.5,"2*mRNA","Mixture of variants","Children",-1.84516024595517
36645782,"Iulia G Ionescu",2023,36,"G","2*BNT162b2",9,32,665,944,63.4,21.4,83,"Mild infection",20.5,"2*mRNA","Omicron","Children",-1.00512194558077
36645782,"Iulia G Ionescu",2023,37,"G","2*BNT162b2",36,122,665,944,57.7,37.2,71.6,"Mild infection",41.5,"2*mRNA","Omicron","Children",-0.860383099935859
36645782,"Iulia G Ionescu",2023,38,"G","2*BNT162b2",108,234,665,944,40.8,23.2,54.4,"Mild infection",69.5,"2*mRNA","Omicron","Children",-0.524248644098131
36645782,"Iulia G Ionescu",2023,39,"G","2*BNT162b2",180,371,665,944,37.7,22.7,49.7,"Mild infection",97.5,"2*mRNA","Omicron","Children",-0.473208760194684
36645782,"Iulia G Ionescu",2023,40,"G","2*BNT162b2",364,1100,665,944,47.5,37.6,55.8,"Mild infection",125.5,"2*mRNA","Omicron","Children",-0.644357016390513
36645782,"Iulia G Ionescu",2023,41,"G","2*BNT162b2",1472,2804,665,944,33.9,24.1,42.4,"Mild infection",153.5,"2*mRNA","Omicron","Children",-0.414001439130451
36645782,"Iulia G Ionescu",2023,43,"H","2*BNT162b2",6,25,471,609,69.6,24.2,87.8,"Mild infection",20.5,"2*mRNA","Omicron","Children",-1.19072757757592
36645782,"Iulia G Ionescu",2023,44,"H","2*BNT162b2",29,99,471,609,58.4,35.3,73.2,"Mild infection",41.5,"2*mRNA","Omicron","Children",-0.877070018720874
36645782,"Iulia G Ionescu",2023,45,"H","2*BNT162b2",95,201,471,609,40.1,20.7,54.8,"Mild infection",69.5,"2*mRNA","Omicron","Children",-0.512493680866688
36645782,"Iulia G Ionescu",2023,46,"H","2*BNT162b2",157,313,471,609,34.2,16.9,48,"Mild infection",97.5,"2*mRNA","Omicron","Children",-0.41855034765682
36645782,"Iulia G Ionescu",2023,47,"H","2*BNT162b2",311,1021,471,609,52.1,42.2,60.4,"Mild infection",125.5,"2*mRNA","Omicron","Children",-0.736054681571222
36645782,"Iulia G Ionescu",2023,48,"H","2*BNT162b2",1391,2648,471,609,33.4,22.7,42.6,"Mild infection",153.5,"2*mRNA","Omicron","Children",-0.406465608441748
36645782,"Iulia G Ionescu",2023,50,"I","2*BNT162b2",13,117,527,1121,80.2,64,89.1,"Mild infection",20.5,"2*mRNA","Omicron","Children",-1.6194882482876
36645782,"Iulia G Ionescu",2023,51,"I","2*BNT162b2",61,230,527,1121,49.2,30.3,63,"Mild infection",41.5,"2*mRNA","Omicron","Children",-0.677273831403655
36645782,"Iulia G Ionescu",2023,52,"I","2*BNT162b2",82,286,527,1121,41.6,22.8,55.9,"Mild infection",69.5,"2*mRNA","Omicron","Children",-0.53785429615391
36645782,"Iulia G Ionescu",2023,53,"I","2*BNT162b2",110,363,527,1121,43.8,27.8,56.2,"Mild infection",97.5,"2*mRNA","Omicron","Children",-0.576253429088446
36645782,"Iulia G Ionescu",2023,54,"I","2*BNT162b2",232,679,527,1121,36.8,23.1,48.1,"Mild infection",125.5,"2*mRNA","Omicron","Children",-0.45886588483528
36645782,"Iulia G Ionescu",2023,55,"I","2*BNT162b2",641,1797,527,1121,36.1,25.4,45.3,"Mild infection",153.5,"2*mRNA","Omicron","Children",-0.447850824604602
36645782,"Iulia G Ionescu",2023,57,"J","2*BNT162b2",7,23,194,335,54.4,-16.6,82.1,"Mild infection",41.5,"2*mRNA","Omicron","Children",-0.785262469467751
36645782,"Iulia G Ionescu",2023,58,"J","2*BNT162b2",13,33,194,335,50.5,-1.6,75.8,"Mild infection",69.5,"2*mRNA","Omicron","Children",-0.703197516413447
36645782,"Iulia G Ionescu",2023,59,"J","2*BNT162b2",23,58,194,335,54.6,21,74,"Mild infection",97.5,"2*mRNA","Omicron","Children",-0.789658080940789
36645782,"Iulia G Ionescu",2023,60,"J","2*BNT162b2",53,79,194,335,17.7,-26.2,46.3,"Mild infection",125.5,"2*mRNA","Omicron","Children",-0.194799078305067
36645782,"Iulia G Ionescu",2023,61,"J","2*BNT162b2",81,156,194,335,39,11.9,57.8,"Mild infection",153.5,"2*mRNA","Omicron","Children",-0.49429632181478
37877845,"Narmeen Mallah",2023,1,"A","2*BNT162b2",1152,1904,10711,9045,62.7,58.1,66.8,"Mild infection",24,"2*mRNA","Omicron","Children",-0.986176859338322
37877845,"Narmeen Mallah",2023,2,"A","2*BNT162b2",595,645,10711,9045,48.3,40.5,55,"Mild infection",59,"2*mRNA","Omicron","Children",-0.659712404473708
37877845,"Narmeen Mallah",2023,3,"A","2*BNT162b2",422,452,10711,9045,45,35.7,53,"Mild infection",76.5,"2*mRNA","Omicron","Children",-0.59783700075562
37877845,"Narmeen Mallah",2023,4,"A","2*BNT162b2",447,395,10711,9045,47.2,37.9,55.1,"Mild infection",94,"2*mRNA","Omicron","Children",-0.638658995275876
37877845,"Narmeen Mallah",2023,5,"B","2*BNT162b2",45,6803,3253,14631,91,87.7,93.5,"Mild infection",24,"2*mRNA","Delta","Children",-2.40794560865187
37877845,"Narmeen Mallah",2023,6,"B","2*BNT162b2",118,4530,3253,14631,83.4,79.8,86.4,"Mild infection",59,"2*mRNA","Delta","Children",-1.79576749062559
37877845,"Narmeen Mallah",2023,7,"B","2*BNT162b2",234,4031,3253,14631,78.8,74.7,82.3,"Mild infection",76.5,"2*mRNA","Delta","Children",-1.55116900431012
34525277,"S. J. Thomas",2021,2,"A","2*BNT162b2",12,22120,312,21689,96.2,93.3,98.1,"Mild infection",33,"2*mRNA","Mixture of variants","All",-3.27016911925575
34525277,"S. J. Thomas",2021,3,"A","2*BNT162b2",46,20768,449,19885,90.1,86.6,92.9,"Mild infection",89.5,"2*mRNA","Mixture of variants","All",-2.31263542884755
34525277,"S. J. Thomas",2021,4,"A","2*BNT162b2",24,12646,128,11674,83.7,74.7,89.9,"Mild infection",150,"2*mRNA","Mixture of variants","All",-1.81400507817538
35189624,"H. F. Tseng",2022,1,"A","2*mRNA-1273",21,151,2883,4203,80.2,68.2,87.7,"Mild infection",52,"2*mRNA","Delta","Adults",-1.6194882482876
35189624,"H. F. Tseng",2022,2,"A","2*mRNA-1273",87,342,2883,4203,68.9,60.1,75.8,"Mild infection",135.5,"2*mRNA","Delta","Adults",-1.1679623668029
35189624,"H. F. Tseng",2022,5,"B","2*mRNA-1273",245,836,8600,16111,44,35.1,51.6,"Mild infection",52,"2*mRNA","Omicron","Adults",-0.579818495252942
35189624,"H. F. Tseng",2022,6,"B","2*mRNA-1273",783,1867,8600,16111,23.5,16.4,30,"Mild infection",135.5,"2*mRNA","Omicron","Adults",-0.267879445155601
35438137,"H. Maeda",2022,1,"A","2*mRNA",7,173,275,442,91.8,80.3,96.6,"Mild infection",74.5,"2*mRNA","Delta","All",-2.50103603171788
35438137,"H. Maeda",2022,2,"A","2*mRNA",4,52,275,442,86.4,56.9,95.7,"Mild infection",164.5,"2*mRNA","Delta","All",-1.99510039324609
35249272,"N. Andrews",2022,1,"A","2*ChAdOx1",28,476,36369,107238,82.8,74.5,88.4,"Mild infection",24,"Primary series viral vector","Delta","Adults",-1.76026080216868
35249272,"N. Andrews",2022,2,"A","2*ChAdOx1",85,894,36369,107238,76.5,70.3,81.5,"Mild infection",52,"Primary series viral vector","Delta","Adults",-1.44816976483798
35249272,"N. Andrews",2022,3,"A","2*ChAdOx1",274,1659,36369,107238,69.2,64.7,73.1,"Mild infection",87,"Primary series viral vector","Delta","Adults",-1.17765549600856
35249272,"N. Andrews",2022,4,"A","2*ChAdOx1",4013,10788,36369,107238,53.6,51.6,55.5,"Mild infection",122,"Primary series viral vector","Delta","Adults",-0.767870726755882
35249272,"N. Andrews",2022,5,"A","2*ChAdOx1",29100,68757,36369,107238,47.4,46.2,48.5,"Mild infection",157,"Primary series viral vector","Delta","Adults",-0.642454066244427
35249272,"N. Andrews",2022,6,"B","2*ChAdOx1",236,476,101109,107238,48.9,39.2,57.1,"Mild infection",24,"Primary series viral vector","Omicron","Adults",-0.671385688778433
35249272,"N. Andrews",2022,7,"B","2*ChAdOx1",505,894,101109,107238,33.7,25,41.5,"Mild infection",52,"Primary series viral vector","Omicron","Adults",-0.410980288796275
35249272,"N. Andrews",2022,8,"B","2*ChAdOx1",767,1659,101109,107238,28.6,20.9,35.6,"Mild infection",87,"Primary series viral vector","Omicron","Adults",-0.336872316642553
35249272,"N. Andrews",2022,9,"B","2*ChAdOx1",2974,10788,101109,107238,17.8,13.4,21.9,"Mild infection",122,"Primary series viral vector","Omicron","Adults",-0.196014883925957
35249272,"N. Andrews",2022,10,"B","2*ChAdOx1",23122,68757,101109,107238,4,1.9,6.1,"Mild infection",157,"Primary series viral vector","Omicron","Adults",-0.0408219945202552
35249272,"N. Andrews",2022,31,"I","2*BNT162b2",240,9516,36369,107238,90.9,89.6,92,"Mild infection",24,"2*mRNA","Delta","Adults",-2.39689577246529
35249272,"N. Andrews",2022,32,"I","2*BNT162b2",981,20163,36369,107238,85.5,84.5,86.5,"Mild infection",52,"2*mRNA","Delta","Adults",-1.93102153656156
35249272,"N. Andrews",2022,33,"I","2*BNT162b2",5562,61014,36369,107238,78.7,78,79.4,"Mild infection",87,"2*mRNA","Delta","Adults",-1.54646311327271
35249272,"N. Andrews",2022,34,"I","2*BNT162b2",17077,144172,36369,107238,74.4,73.8,74.9,"Mild infection",122,"2*mRNA","Delta","Adults",-1.36257783450257
35249272,"N. Andrews",2022,35,"I","2*BNT162b2",10348,72018,36369,107238,67.4,66.5,68.2,"Mild infection",157,"2*mRNA","Delta","Adults",-1.12085789761543
35249272,"N. Andrews",2022,36,"I","2*BNT162b2",8531,51625,36369,107238,62.7,61.6,63.7,"Mild infection",175,"2*mRNA","Delta","Adults",-0.986176859338322
35249272,"N. Andrews",2022,37,"J","2*BNT162b2",3369,9516,101109,107238,65.5,63.9,67,"Mild infection",24,"2*mRNA","Omicron","Adults",-1.06421086195078
35249272,"N. Andrews",2022,38,"J","2*BNT162b2",8768,20163,101109,107238,48.7,47.1,50.2,"Mild infection",52,"2*mRNA","Omicron","Adults",-0.667479433811368
35249272,"N. Andrews",2022,39,"J","2*BNT162b2",25178,61014,101109,107238,30.1,28.7,31.5,"Mild infection",87,"2*mRNA","Omicron","Adults",-0.358104536748327
35249272,"N. Andrews",2022,40,"J","2*BNT162b2",82221,144172,101109,107238,15.4,14.2,16.6,"Mild infection",122,"2*mRNA","Omicron","Adults",-0.167235919375914
35249272,"N. Andrews",2022,41,"J","2*BNT162b2",55719,72018,101109,107238,11.5,10.1,12.9,"Mild infection",157,"2*mRNA","Omicron","Adults",-0.122167633974208
35249272,"N. Andrews",2022,42,"J","2*BNT162b2",33983,51625,101109,107238,8.8,7,10.5,"Mild infection",175,"2*mRNA","Omicron","Adults",-0.0921152889078056
35249272,"N. Andrews",2022,57,"O","2*mRNA-1273",13,855,36369,107238,94.5,90.5,96.9,"Mild infection",24,"2*mRNA","Delta","Adults",-2.90042209374967
35249272,"N. Andrews",2022,58,"O","2*mRNA-1273",73,2286,36369,107238,91.8,89.6,93.6,"Mild infection",52,"2*mRNA","Delta","Adults",-2.50103603171788
35249272,"N. Andrews",2022,59,"O","2*mRNA-1273",674,9822,36369,107238,84.1,82.7,85.3,"Mild infection",87,"2*mRNA","Delta","Adults",-1.83885107676191
35249272,"N. Andrews",2022,60,"O","2*mRNA-1273",1627,20017,36369,107238,82.8,81.8,83.7,"Mild infection",122,"2*mRNA","Delta","Adults",-1.76026080216868
35249272,"N. Andrews",2022,61,"O","2*mRNA-1273",1224,8961,36369,107238,76.2,74.7,77.7,"Mild infection",157,"2*mRNA","Delta","Adults",-1.43548460531066
35249272,"N. Andrews",2022,62,"O","2*mRNA-1273",16,474,36369,107238,80.4,67.3,88.2,"Mild infection",175,"2*mRNA","Delta","Adults",-1.62964061975162
35249272,"N. Andrews",2022,63,"P","2*mRNA-1273",236,855,101109,107238,75.1,70.8,78.7,"Mild infection",24,"2*mRNA","Omicron","Adults",-1.39030238251743
35249272,"N. Andrews",2022,64,"P","2*mRNA-1273",791,2286,101109,107238,52.8,48.2,57.1,"Mild infection",52,"2*mRNA","Omicron","Adults",-0.750776293396582
35249272,"N. Andrews",2022,65,"P","2*mRNA-1273",3828,9822,101109,107238,35.6,32.7,38.4,"Mild infection",87,"2*mRNA","Omicron","Adults",-0.440056552877784
35249272,"N. Andrews",2022,66,"P","2*mRNA-1273",11269,20017,101109,107238,25.3,23.2,27.4,"Mild infection",122,"2*mRNA","Omicron","Adults",-0.29169009384932
35249272,"N. Andrews",2022,67,"P","2*mRNA-1273",6106,8961,101109,107238,15,11.6,18.2,"Mild infection",157,"2*mRNA","Omicron","Adults",-0.162518929497775
35249272,"N. Andrews",2022,68,"P","2*mRNA-1273",731,474,101109,107238,14.9,3.9,24.7,"Mild infection",175,"2*mRNA","Omicron","Adults",-0.161343150408763
35405090,"C. Menni",2022,1,"A","2*ChAdOx1",1682,198419,6701,90157,83.1,82.2,84,"Mild infection",44.5,"Primary series viral vector","Delta","Adults",-1.77785656405906
35405090,"C. Menni",2022,2,"A","2*ChAdOx1",5759,444233,6701,90157,79.3,78.6,80,"Mild infection",74.5,"Primary series viral vector","Delta","Adults",-1.57503648571677
35405090,"C. Menni",2022,3,"A","2*ChAdOx1",7952,464711,6701,90157,76.7,76,77.5,"Mild infection",104.5,"Primary series viral vector","Delta","Adults",-1.45671682541644
35405090,"C. Menni",2022,4,"A","2*ChAdOx1",9669,482535,6701,90157,75.8,75,76.4,"Mild infection",134.5,"Primary series viral vector","Delta","Adults",-1.41881755282545
35405090,"C. Menni",2022,5,"A","2*ChAdOx1",11067,467213,6701,90157,75.7,74.9,76.4,"Mild infection",164.5,"Primary series viral vector","Delta","Adults",-1.41469383564159
35405090,"C. Menni",2022,7,"B","2*BNT162b2",407,60066,6701,90157,91.6,90.7,92.4,"Mild infection",44.5,"2*mRNA","Delta","Adults",-2.47693848013882
35405090,"C. Menni",2022,8,"B","2*BNT162b2",1230,164555,6701,90157,89,88.3,89.7,"Mild infection",74.5,"2*mRNA","Delta","Adults",-2.20727491318972
35405090,"C. Menni",2022,9,"B","2*BNT162b2",2291,231587,6701,90157,86.8,86.2,87.4,"Mild infection",104.5,"2*mRNA","Delta","Adults",-2.02495335639577
35405090,"C. Menni",2022,10,"B","2*BNT162b2",3233,236283,6701,90157,83.7,82.9,84.3,"Mild infection",134.5,"2*mRNA","Delta","Adults",-1.81400507817538
35405090,"C. Menni",2022,11,"B","2*BNT162b2",2973,213924,6701,90157,82.1,81.3,82.9,"Mild infection",164.5,"2*mRNA","Delta","Adults",-1.72036947314138
35405090,"C. Menni",2022,15,"C","2*mRNA-1273",54,7872,6701,90157,94.1,92.3,95.5,"Mild infection",44.5,"2*mRNA","Delta","Adults",-2.83021783507642
35405090,"C. Menni",2022,16,"C","2*mRNA-1273",135,13844,6701,90157,91.7,90.2,93,"Mild infection",74.5,"2*mRNA","Delta","Adults",-2.48891467118554
35405090,"C. Menni",2022,17,"C","2*mRNA-1273",194,13742,6701,90157,89.9,88.4,91.3,"Mild infection",104.5,"2*mRNA","Delta","Adults",-2.29263476214088
35405090,"C. Menni",2022,18,"C","2*mRNA-1273",236,11067,6701,90157,87.7,86,89.2,"Mild infection",134.5,"2*mRNA","Delta","Adults",-2.09557092360972
35405090,"C. Menni",2022,19,"C","2*mRNA-1273",121,4727,6701,90157,84.3,81.2,86.9,"Mild infection",164.5,"2*mRNA","Delta","Adults",-1.85150947363383
35468336,"S. Y. Tartof",2022,1,"A1","2*BNT162b2",57,169,1748,1063,78,55,89,"Severe",48,"2*mRNA","Delta","Adults",-1.51412773262978
35468336,"S. Y. Tartof",2022,2,"A1","2*BNT162b2",176,304,1748,1063,87,76,93,"Severe",134.5,"2*mRNA","Delta","Adults",-2.04022082852655
35468336,"S. Y. Tartof",2022,5,"B1","2*BNT162b2",127,169,2354,1063,68,48,80,"Severe",48,"2*mRNA","Omicron","Adults",-1.13943428318837
35468336,"S. Y. Tartof",2022,6,"B1","2*BNT162b2",319,304,2354,1063,68,53,78,"Severe",134.5,"2*mRNA","Omicron","Adults",-1.13943428318837
36413551,"K. F. Nielsen",2022,4,"B","2*mRNA",26,12249.4,1373,33375.63,94,92,96,"Mild infection",28.5,"2*mRNA","Delta","Adults",-2.81341071676004
36413551,"K. F. Nielsen",2022,5,"B","2*mRNA",30,12887.7,1373,33375.63,93,90,95,"Mild infection",58.5,"2*mRNA","Delta","Adults",-2.65926003693278
36413551,"K. F. Nielsen",2022,6,"B","2*mRNA",65,11693.72,1373,33375.63,90,87,92,"Mild infection",88.5,"2*mRNA","Delta","Adults",-2.30258509299405
36413551,"K. F. Nielsen",2022,7,"B","2*mRNA",64,7399.62,1373,33375.63,85,80,88,"Mild infection",118.5,"2*mRNA","Delta","Adults",-1.89711998488588
36413551,"K. F. Nielsen",2022,8,"B","2*mRNA",43,3712.3,1373,33375.63,74,63,82,"Mild infection",148.5,"2*mRNA","Delta","Adults",-1.34707364796661
36413551,"K. F. Nielsen",2022,9,"B","2*mRNA",23,2231.93,1373,33375.63,80,68,88,"Mild infection",178.5,"2*mRNA","Delta","Adults",-1.6094379124341
36413551,"K. F. Nielsen",2022,14,"C","2*mRNA",2033,1690.69,24002,7712.27,60,58,62,"Mild infection",28.5,"2*mRNA","Omicron","Adults",-0.916290731874155
36413551,"K. F. Nielsen",2022,15,"C","2*mRNA",1271,746.05,24002,7712.27,50,47,53,"Mild infection",58.5,"2*mRNA","Omicron","Adults",-0.693147180559945
36413551,"K. F. Nielsen",2022,16,"C","2*mRNA",1061,702.72,24002,7712.27,43,39,46,"Mild infection",88.5,"2*mRNA","Omicron","Adults",-0.562118918153541
36413551,"K. F. Nielsen",2022,17,"C","2*mRNA",3014,1954.08,24002,7712.27,34,32,37,"Mild infection",118.5,"2*mRNA","Omicron","Adults",-0.415515443961666
36413551,"K. F. Nielsen",2022,18,"C","2*mRNA",6737,3271.95,24002,7712.27,20,17,22,"Mild infection",148.5,"2*mRNA","Omicron","Adults",-0.22314355131421
